Station,Longitude,Latitude,Demand,Cluster,time_windows,time_windows,,,
239,118.7818725,32.02377507,18,1,0,00,,,8:00
240,118.7876159,32.04792786,-1,0,42.85714286,43,,,8:43
241,118.7819222,32.06075607,4,2,0,00,,,8:00
244,118.7896644,32.05392296,-19,0,0,00,,,8:00
247,118.7911247,32.0132208,-22,1,0,00,,,8:00
249,118.768088,32.04284437,-30,3,0,00,,,8:00
250,118.7905929,32.04414359,60,0,0,00,,,8:00
253,118.7734425,32.03462721,-39,3,0,00,,,8:00
254,118.7757782,32.06283991,-17,2,0,00,,,8:00
256,118.7833119,32.01866628,18,1,0,00,,,8:00
257,118.7975205,32.04054738,5,0,19.78021978,20,,,8:20
258,118.7886775,32.0308414,-57,1,0,00,,,8:00
259,118.7812221,32.02013203,27,1,0,00,,,8:00
261,118.7839655,32.03687512,40,3,0,00,,,8:00
264,118.7760317,32.04057349,19,3,0,00,,,8:00
265,118.7852727,32.02535463,31,1,0,00,,,8:00
266,118.7872358,32.03613343,17,0,0,00,,,8:00
267,118.7759659,32.05473667,-20,2,0,00,,,8:00
268,118.7805269,32.04226357,8,3,0,00,,,8:00
272,118.7749647,32.02056452,-33,1,0,00,,,8:00
274,118.7947001,32.03957297,11,0,0,00,,,8:00
275,118.7835243,32.0459259,39,0,0,00,,,8:00
277,118.791514,32.03024651,6,1,21.05263158,21,,,8:21
278,118.778099,32.01343555,-8,1,0,00,,,8:00
279,118.7707531,32.02702688,8,1,5.882352941,06,,,8:06
280,118.7939608,32.05383551,29,0,0,00,,,8:00
281,118.7941219,32.02517276,-32,1,0,00,,,8:00
283,118.7832255,32.06524609,-11,2,0,00,,,8:00
284,118.7840384,32.06996272,-15,2,28.50678733,29,,,8:29
286,118.7767783,32.05797494,14,2,0,00,,,8:00
291,118.7860127,32.05072063,13,0,0,00,,,8:00
298,118.7702211,32.07536891,-11,2,0,00,,,8:00
